Quality,Description,Levels,Cost per Level,Game Effect,Type
Ambidextrous,"You are equally adept at using either your right or left side. Whether shooting a gun, throwing a grenade, or kicking a ball, you can switch it up with the best of them.",1,4,No penalty for off-hand weapon use (see p. 110).,Positive
Analytical Mind,"You are a master problem solver. You can analyze information to help deduce solutions, while separating useful bits from the distractions and noise.",1,3,You gain a bonus Edge when you make any Logic-based test.,Positive
Aptitude (Skill),The best look up to you. You have the natural potential to be even better than the best in a particular skill.,1,12,"Your skill maximum for the selected skill is 10, instead of 9, and your maximum starting rank is 7, instead of 6.",Positive
Astral Chameleon,Your aura never seems to stabilize for very long. You have the ability to blend in with the astral environment around you and make it harder to identify and read your aura and astral signature.,1,9,Characters receive –2 dice on tests to recognize your aura or astral signature. Your astral signature fades in half the normal time (see p. 159).,Positive
Blandness,"You are the least interesting person in the world. You’re average height, average weight, average build, average everything. Nothing at all about you tends to stand out, and that can be extremely useful.",1,8,"Characters take a –2 penalty on Memory tests (p. 67) to remember if they have seen you before, and the threshold on tests to notice if you are following or observing them is increased by 1.",Positive
Built Tough (1 to 4),You’re built like a brick drekhouse. You’re pretty good at taking a few extra hits before the lights go out.,4,4,You have a number of additional boxes on your Physical Condition Monitor equal to the rank of this quality.,Positive
Catlike,"You have an innate grace usually seen only in the genus Felis that translates into smooth movements and a propensity for always landing on your feet—literally, if not figuratively.",1,12,"You gain a bonus Edge on all tests for balance, falling, and landing safely.",Positive
Dermal Deposits,"You have calciferous deposits growing on or through your flesh, making you tougher and a little rough around the edges. Literally.",1,7,You gain 1 level of natural Armor. Your Unarmed Melee attacks have a Base Damage Value of [(STR/2) + 1]P.,Positive
Double-Jointed,"Through practice or genetics, you’ve managed to make most of the joints in your body bend beyond normal metahuman ranges. Your hands narrow to as small as your wrists, your shoulders rotate and bend in every direction, your body folds neatly in half both forward and backward, and you can rotate your head to look behind you without turning your shoulders, just to name a few of your neatest party tricks.",1,12,"You gain a bonus Edge on all tests involving grappling, escaping bonds, flexibility, or fitting into tight spaces.",Positive
(Elemental) Resistance,"Through genetics or training, you have developed a powerful resistance and tolerance for certain forms of damaging energy (or lack of energy, in the case of cold).",1,12,"When choosing this quality, select an elemental form of damage (p. 109). When attacked with a weapon or spell (including unarmed combat by a spirit) that does this form of damage, gain a point of Edge before making your Defense test.",Positive
Exceptional (Attribute),"Whether it’s being a powerhouse, taking a hit from a troll, holding your synthahol, ducking a fast right, holding that inside turn, selling coal in Newcastle, or making a cat look clumsy, you’re just naturally built to be better.",1,12,Select a Physical or Mental attribute. The character’s attribute maximum (but not current rank) for the chosen attribute increases by 1 to a maximum of 10.,Positive
First Impression,"You know how to make an entrance and make that first meeting the best meeting. Your wit, charm, and subtle flattery put everyone you meet off their guard and let you make the most of a first encounter.",1,12,"You gain 2 Edge for Social Tests during your first meeting with anyone, and both your Heat and Reputation are ignored for this first encounter.",Positive
Focused Concentration (1 to 3),You know how to compartmentalize your mind and keep hold of arcane and emergent manipulations without straining yourself.,3,12,"You can sustain multiple spells or complex forms without penalty. For each level, you can sustain 1 additional spell or complex form without suffering the associated penalty. The spell cannot have a modified Drain Value of 7 or greater.",Positive
Gearhead,"If it’s meant to move but currently isn’t moving so well, you know how to get it back into tip-top shape in a jiffy.",1,10,You gain an Edge on Repair tests for any vehicle and can spend Edge during downtime to make Extended Repair tests.,Positive
Guts,"It’s not a lack of fear, just a lack of cowardice! You can stand up to the most intimidating opponents and hold your tongue under the toughest interrogations.",1,12,You gain an Edge when resisting Intimidation or effects that cause the Frightened status.,Positive
